Fecha,Departamento,Municipio,Latitud,Longitud,Dia,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,CLASE,MARCA,LINEA,MODELO,COLOR,Cantidad
07/03/2017 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),"6,2913889","-75,5361111",Lunes,02:30:00 AM,MANRIQUE 1  C-4,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5001000,MOTOCICLETA,YAMAHA,DT 125,1997,NEGRO,55
07/24/2017 12:00:00 AM,CUNDINAMARCA,BOGOTA D.C. (CT),"4,6","-74,0833333",Lunes,06:30:00 AM,URB. CLARELANDIA DEL SUR E-7,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,31,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000,MOTOCICLETA,AUTECO,PULSAR 200 ,2016,AZUL,8
05/22/2017 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),,,Lunes,06:00:00 PM,SEVILLA  C-4,RURAL,FRENTE A COLEGIO - VIA PUBLICA,LLAVE MAESTRA,-,-,25,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SUPERIOR,5001000,MOTOCICLETA,AUTECO,AGILITY 125,2014,BLANCO,4
01/14/2017 12:00:00 AM,CHOCO,QUIBDO (CT),,,Sábado,01:00:00 AM,EL JARDIN,URBANA,TRAMO DE VIA,ARMA DE FUEGO,A PIE,CONDUCTOR MOTOCICLETA,30,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,LICENCIADO,SUPERIOR,27001000,MOTOCICLETA,YAMAHA,BWS,2015,ROJO,2
02/22/2017 12:00:00 AM,CAUCA,POPAYAN (CT),,,Miércoles,07:55:00 PM,VARIANTE NORTE,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR MOTOCICLETA,39,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,19001000,MOTOCICLETA,HONDA,SPLENDOR,2013,ROJO,2
03/30/2017 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),,,Jueves,06:30:00 PM,BOSQUES DE SAN PABLO C-7,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5001000,MOTOCICLETA,YAMAHA,BWS 125,2012,BLANCO,2
05/05/2017 12:00:00 AM,CAUCA,POPAYAN (CT),,,Viernes,07:30:00 PM,NUEVO AMANECER,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,CONDUCTOR MOTOCICLETA,21,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,19001000,MOTOCICLETA,HONDA,CB 110,2017,GRIS,2
05/11/2017 12:00:00 AM,NARINO,PASTO (CT),,,Jueves,12:45:00 PM,CENTRO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,30,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,52001000,MOTOCICLETA,YAMAHA,BWS,2013,NEGRO,2
01/01/2017 12:00:00 AM,ANTIOQUIA,BELLO,,,Domingo,06:30:00 AM,LA MADERA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR MOTOCICLETA,26,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SUPERIOR,5088000,MOTOCICLETA,YAMAHA,RX 115,2004,ROJO,1
01/01/2017 12:00:00 AM,ANTIOQUIA,MEDELLIN (CT),,,Domingo,10:00:00 PM,SURAMERICANA C-11,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR MOTOCICLETA,29,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5001000,MOTOCICLETA,AKT,AK 125,2017,BLANCO,1
