ID,MUNICIPIO,ID2,Departamento,lat,lon
5002,ABEJORRAL,5,Antioquia,5.75,-75.4166667
5004,ABRIAQUI,5,Antioquia,6.6666667,-76.0833333
50006,ACACIAS,50,Meta,3.9166667,-73.8333333
27006,ACANDI,27,Choc?³,8.3333333,-77.1666667
41006,ACEVEDO,41,Huila,1.75,-75.9166667
13006,ACH?­,13,Bol?­var,8.25,-74.5
41013,AGRADO,41,Huila,2.3333333,-75.75
25001,AGUA DE DIOS,25,Cundinamarca,4.4166667,-74.6666667
20011,AGUACHICA,20,Cesar,8.3333333,-73.5833333
68013,AGUADA,68,Santander,6.25,-73.4666667
17013,AGUADAS,17,Caldas,5.6333333,-75.4166667
85010,AGUAZUL,85,Casanare,5.1730556,-72.5547222
20013,AGUST?­N CODAZZI,20,Cesar,9.9166667,-73.25
41016,AIPE,41,Huila,3.25,-75.3333333
18029,ALBANIA,18,Caquet?¡,1.3316667,-75.8822222
44035,ALBANIA,44,La Guajira,11.1597222,-72.5855556
68020,ALBANIA,68,Santander,5.8333333,-73.75
25019,ALB?¡N,25,Cundinamarca,4.9166667,-74.45
52019,ALB?¡N (SAN JOSE),52,Nari?±o,1.4744444,-77.0836111
76020,ALCAL?¡,76,Valle del Cauca,4.6666667,-75.75
52022,ALDANA,52,Nari?±o,0.9166667,-77.6833333
5021,ALEJANDRIA,5,Antioquia,6.3666667,-75.0833333
47030,ALGARROBO,47,Magdalena,10.1869444,-74.5752778
41020,ALGECIRAS,41,Huila,2.5833333,-75.25
19022,ALMAGUER,19,Cauca,1.9166667,-76.8333333
15022,ALMEIDA,15,Boyac?¡,4.9166667,-73.3333333
73024,ALPUJARRA,73,Tolima,3.4166667,-74.9166667
41026,ALTAMIRA,41,Huila,2.1666667,-75.8333333
27025,ALTO BAUD?³ (PIE DE PATO),27,Choc?³,5.6666667,-77
13030,ALTOS DEL ROSARIO,13,Bol?­var,8.7944444,-74.1658333
73026,ALVARADO,73,Tolima,4.5833333,-75
5030,AMAGA,5,Antioquia,6.05,-75.7
5031,AMALFI,5,Antioquia,7,-74.9166667
73030,AMBALEMA,73,Tolima,4.8333333,-74.8333333
25035,ANAPOIMA,25,Cundinamarca,4.6166667,-74.55
52036,ANCUYA,52,Nari?±o,1.25,-77.5
76036,ANDALUC?­A,76,Valle del Cauca,4.1741667,-76.1702778
5034,ANDES,5,Antioquia,5.5833333,-75.9166667
5036,ANGEL?³POLIS,5,Antioquia,6.1333333,-75.7
5038,ANGOSTURA,5,Antioquia,6.8666667,-75.3333333
25040,ANOLAIMA,25,Cundinamarca,4.8333333,-74.5
5040,ANOR?­,5,Antioquia,7.1666667,-75.0833333
17042,ANSERMA,17,Caldas,5.25,-75.75
76041,ANSERMANUEVO,76,Valle del Cauca,4.7972222,-75.995
73043,ANZO?¡TEGUI,73,Tolima,4.6666667,-75.25
5044,ANZ?¡,5,Antioquia,6.3333333,-75.9166667
5045,APARTADO,5,Antioquia,7.8855556,-76.6347222
25599,APULO,25,Cundinamarca,4.5833333,-74.5833333
66045,AP?­A,66,Risaralda,5.1666667,-76
15047,AQUITANIA,15,Boyac?¡,5.5197222,-72.8875
47053,ARACATACA,47,Magdalena,10.5833333,-74
17050,ARANZAZU,17,Caldas,5.3,-75.45
68051,ARATOCA,68,Santander,6.8333333,-72.9666667
81001,ARAUCA (CT),81,Arauca,7.0902778,-70.7616667
81065,ARAUQUITA,81,Arauca,6.8219444,-71.3236111
25053,ARBEL?¡EZ,25,Cundinamarca,4.3,-74.5833333
52051,ARBOLEDA (BERRUECOS),52,Nari?±o,1.5033333,-77.0877778
54051,ARBOLEDAS,54,Norte de Santander,7.6666667,-72.75
5051,ARBOLETES,5,Antioquia,8.5,-76.4166667
15051,ARCABUCO,15,Boyac?¡,5.8,-73.3833333
13042,ARENAL,13,Bol?­var,8.4666667,-73.95
5055,ARGELIA,5,Antioquia,5.7341667,-75.1463889
19050,ARGELIA,19,Cauca,2.2666667,-77.25
76054,ARGELIA,76,Valle del Cauca,4.7,-76.1333333
47058,ARIGUAN?­ (EL DIF?­CIL),47,Magdalena,10.25,-74
13052,ARJONA,13,Bol?­var,10.1666667,-75.3333333
5059,ARMENIA,5,Antioquia,6.1666667,-75.8333333
63001,ARMENIA (CT),63,Quind?­o,4.5338889,-75.6811111
73055,ARMERO (GUAYABAL),73,Tolima,5.0833333,-74.8333333
13062,ARROYOHONDO,13,Bol?­var,10.2497222,-75.0113889
20032,ASTREA,20,Cesar,9.5011111,-73.9802778
73067,ATACO,73,Tolima,3.3333333,-75.6666667
27050,ATRATO (YUTO),27,Choc?³,5.5333333,-76.6333333
23068,AYAPEL,23,C?³rdoba,8.25,-75.25
27073,BAGAD?³,27,Choc?³,5.5,-76.25
27075,BAH?­A SOLANO (M?ºTIS),27,Choc?³,6.2191667,-77.4077778
27077,BAJO BAUD?³ (PIZARRO),27,Choc?³,"5,0",-77.0833333
19075,BALBOA,19,Cauca,2.1,-77.2
66075,BALBOA,66,Risaralda,4.9166667,-75.95
8078,BARANOA,8,Atl?¡ntico,10.8,-74.9166667
41078,BARAYA,41,Huila,3.1666667,-75
52079,BARBACOAS,52,Nari?±o,1.5833333,-78
5079,BARBOSA,5,Antioquia,6.45,-75.3333333
68077,BARBOSA,68,Santander,6,-73.55
68079,BARICHARA,68,Santander,6.75,-73.1666667
50110,BARRANCA DE UP?­A,50,Meta,4.5755556,-72.9611111
68081,BARRANCABERMEJA,68,Santander,7.0652778,-73.8547222
44078,BARRANCAS,44,La Guajira,11,-72.75
13074,BARRANCO DE LOBA,13,Bol?­var,8.8333333,-74.1666667
8001,BARRANQUILLA (CT),8,Atl?¡ntico,10.9638889,-74.7963889
20045,BECERR?­L,20,Cesar,9.705,-73.2847222
17088,BELALC?¡ZAR,17,Caldas,5,-75.8333333
5088,BELLO,5,Antioquia,6.3388889,-75.5622222
5086,BELMIRA,5,Antioquia,6.6666667,-75.6666667
25086,BELTR?¡N,25,Cundinamarca,4.8,-74.75
15087,BEL?©N,15,Boyac?¡,6.0833333,-72.9166667
52083,BEL?©N,52,Nari?±o,1.5975,-77.0175
27086,BEL?©N DE BAJIR?¡,27,Choc?³,7.3725,-76.7147222
66088,BEL?©N DE UMBR?­A,66,Risaralda,5.25,-75.9166667
18094,BEL?©N DE LOS ANDAQU?­ES,18,Caquet?¡,1.4166667,-75.9166667
15090,BERBEO,15,Boyac?¡,5.3333333,-73
5091,BETANIA,5,Antioquia,5.75,-75.9666667
15092,BETEITIVA,15,Boyac?¡,6,-72.8333333
5093,BETULIA,5,Antioquia,6.2,-75.9166667
68092,BETULIA,68,Santander,7.0833333,-73.3333333
25095,BITUIMA,25,Cundinamarca,4.9166667,-74.55
15097,BOAVITA,15,Boyac?¡,6.4166667,-72.5833333
54099,BOCHALEMA,54,Norte de Santander,7.6666667,-72.5833333
11001,BOGOTA D.C. (CT),25,Cundinamarca,4.6,-74.0833333
25099,BOJAC?¡,25,Cundinamarca,4.75,-74.3333333
27099,BOJAY?¡ (BELLAVISTA),27,Choc?³,6.5236111,-76.9744444
5101,BOLIVAR,5,Antioquia,5.8333333,-76
19100,BOLIVAR,19,Cauca,1.8333333,-76.9166667
68101,BOLIVAR,68,Santander,6.25,-74
76100,BOLIVAR,76,Valle del Cauca,4.3333333,-76.3333333
20060,BOSCONIA,20,Cesar,9.9761111,-73.8902778
15104,BOYAC?¡,15,Boyac?¡,5.5,-72.5
5107,BRICE?±O,5,Antioquia,7.1122222,-75.5541667
15106,BRICE?±O,15,Boyac?¡,5.75,-73.8333333
68001,BUCARAMANGA (CT),68,Santander,7.1297222,-73.1258333
54109,BUCARASICA,54,Norte de Santander,8.0833333,-73
76109,BUENAVENTURA,76,Valle del Cauca,3.8933333,-77.0697222
15109,BUENAVISTA,15,Boyac?¡,5.5,-73.9666667
23079,BUENAVISTA,23,C?³rdoba,8.7575,-75.89
63111,BUENAVISTA,63,Quind?­o,4.3622222,-75.7394444
70110,BUENAVISTA,70,Sucre,9.3222222,-74.9772222
19110,BUENOS AIRES,19,Cauca,2.9166667,-76.6666667
